genre,popularity, acousticness , danceability ,duration_ms, energy , liveness , loudness , speechiness , tempo , valence 
Electronic,61,"  0,03 ","  0,80 ",299133,"  0,72 ","  0,08 ","  (6,42)","  0,04 ","  139,98 ","  0,86 "
Electronic,52,"  0,03 ","  0,48 ",257045,"  0,68 ","  0,13 ","  (4,89)","  0,04 ","  145,02 ","  0,19 "
Electronic,55,"  0,02 ","  0,42 ",288933,"  0,61 ","  0,15 ","  (7,55)","  0,03 ","  158,01 ","  0,15 "
Electronic,50,"  0,11 ","  0,58 ",252308,"  0,79 ","  0,11 ","  (5,48)","  0,19 ","  156,09 ","  0,06 "
Electronic,54,"  0,32 ","  0,64 ",322133,"  0,87 ","  0,07 ","  (7,93)","  0,06 ","  174,71 ","  0,41 "
Electronic,62,"  0,09 ","  0,88 ",191685,"  0,67 ","  0,06 ","  (9,24)","  0,22 ","  116,02 ","  0,24 "
Electronic,51,"  0,04 ","  0,38 ",181107,"  0,85 ","  0,51 ","  (5,41)","  0,28 ","  136,81 ","  0,75 "
Electronic,53,"  0,50 ","  0,71 ",243373,"  0,69 ","  0,10 ","  (6,54)","  0,04 ","  95,04 ","  0,88 "
Electronic,56,"  0,03 ","  0,86 ",174375,"  0,96 ","  0,18 ","  (1,61)","  0,07 ","  128,01 ","  0,08 "
Electronic,45,"  0,02 ","  0,93 ",133070,"  0,72 ","  0,10 ","  (4,21)","  0,09 ","  100,96 ","  0,19 "
Electronic,44,"  0,01 ","  0,61 ",211200,"  0,73 ","  0,15 ","  (9,15)","  0,17 ","  150,01 ","  0,74 "
Electronic,45,"  0,00 ","  0,52 ",268800,"  0,99 ","  0,21 ","  (0,85)","  0,18 ","  150,10 ","  0,35 "
Electronic,53,"  0,03 ","  0,47 ",311333,"  0,99 ","  0,89 ","  (5,64)","  0,16 ","  117,75 ","  0,09 "
Electronic,46,"  0,01 ","  0,43 ",195200,"  0,91 ","  0,11 ","  (6,20)","  0,10 ","  149,77 ","  0,42 "
Electronic,49,"  0,03 ","  0,55 ",317400,"  0,55 ","  0,13 ","  (8,70)","  0,03 ","  101,32 ","  0,45 "
Electronic,42,"  0,01 ","  0,24 ",211225,"  0,70 ","  0,54 ","  (5,51)","  0,06 ","  99,95 ","  0,32 "
Electronic,55,"  0,00 ","  0,79 ",372555,"  0,85 ","  0,03 ","  (6,30)","  0,06 ","  120,00 ","  0,62 "
Electronic,40,"  0,00 ","  0,58 ",241702,"  0,79 ","  0,10 ","  (4,68)","  0,05 ","  145,00 ","  0,23 "
Electronic,43,"  0,73 ","  0,49 ",343607,"  0,52 ","  0,08 ","  (13,91)","  0,04 ","  94,99 ","  0,09 "
Electronic,41,"  0,01 ","  0,62 ",276700,"  0,95 ","  0,67 ","  (2,19)","  0,08 ","  74,98 ","  0,04 "
Electronic,49,"  0,03 ","  0,87 ",238533,"  0,66 ","  0,19 ","  (6,70)","  0,05 ","  114,01 ","  0,85 "
Electronic,39,"  0,00 ","  0,68 ",298347,"  0,79 ","  0,13 ","  (6,91)","  0,05 ","  130,25 ","  0,12 "
Electronic,37,"  0,30 ","  0,66 ",251686,"  0,75 ","  0,52 ","  (6,17)","  0,04 ","  146,05 ","  0,37 "
Electronic,36,"  0,06 ","  0,65 ",240009,"  0,42 ","  0,10 ","  (9,31)","  0,04 ","  140,00 ","  0,10 "
Electronic,42,"  0,26 ","  0,72 ",173728,"  0,61 ","  0,07 ","  (7,28)","  0,25 ","  160,21 ","  0,55 "
Electronic,31,"  0,06 ","  0,60 ",265600,"  0,90 ","  0,08 ","  (10,90)","  0,06 ","  134,97 ","  0,35 "
Electronic,38,"  0,02 ","  0,56 ",219000,"  0,98 ","  0,14 ","  (1,99)","  0,06 ","  160,10 ","  0,83 "
Electronic,39,"  0,00 ","  0,79 ",503027,"  0,84 ","  0,10 ","  (9,93)","  0,07 ","  126,02 ","  0,78 "
Electronic,41,"  0,00 ","  0,72 ",243750,"  0,90 ","  0,36 ","  (5,64)","  0,05 ","  128,00 ","  0,49 "
Electronic,39,"  0,01 ","  0,51 ",211765,"  0,91 ","  0,12 ","  (3,83)","  0,06 ","  136,11 ","  0,27 "
